cluster,count,percentage
0,50544,9.17
13,6810,1.24
108,6655,1.21
25,6057,1.1
141,6055,1.1
163,5310,0.96
16,5076,0.92
26,4945,0.9
69,4850,0.88
164,4785,0.87
99,4770,0.87
151,4766,0.86
30,4625,0.84
90,4516,0.82
133,4215,0.76
122,4138,0.75
43,4049,0.73
54,4023,0.73
188,3944,0.72
82,3772,0.68
38,3771,0.68
64,3766,0.68
44,3753,0.68
46,3746,0.68
150,3740,0.68
160,3710,0.67
137,3703,0.67
107,3693,0.67
58,3679,0.67
162,3672,0.67
5,3658,0.66
173,3637,0.66
134,3635,0.66
42,3619,0.66
130,3613,0.66
93,3610,0.66
194,3590,0.65
75,3581,0.65
62,3568,0.65
126,3541,0.64
31,3537,0.64
7,3519,0.64
143,3518,0.64
199,3491,0.63
171,3480,0.63
86,3473,0.63
136,3450,0.63
59,3423,0.62
176,3423,0.62
80,3390,0.62
21,3364,0.61
165,3331,0.6
112,3321,0.6
60,3274,0.59
138,3259,0.59
51,3251,0.59
182,3248,0.59
9,3219,0.58
109,3184,0.58
50,3183,0.58
125,3164,0.57
172,3159,0.57
28,3149,0.57
2,3140,0.57
123,3128,0.57
184,3100,0.56
129,3097,0.56
147,3097,0.56
37,3086,0.56
156,3074,0.56
161,3064,0.56
153,3049,0.55
94,3041,0.55
103,3033,0.55
174,3026,0.55
76,3023,0.55
114,3009,0.55
100,2979,0.54
22,2972,0.54
158,2964,0.54
195,2950,0.54
145,2940,0.53
77,2939,0.53
105,2908,0.53
20,2902,0.53
131,2879,0.52
41,2863,0.52
12,2856,0.52
87,2850,0.52
56,2776,0.5
140,2757,0.5
177,2747,0.5
92,2740,0.5
127,2729,0.5
121,2727,0.49
144,2726,0.49
120,2700,0.49
15,2622,0.48
61,2621,0.48
45,2613,0.47
118,2603,0.47
83,2547,0.46
170,2526,0.46
55,2506,0.45
183,2500,0.45
124,2476,0.45
128,2473,0.45
166,2458,0.45
185,2450,0.44
189,2449,0.44
190,2446,0.44
72,2408,0.44
155,2365,0.43
53,2306,0.42
73,2302,0.42
113,2288,0.42
68,2283,0.41
29,2238,0.41
71,2219,0.4
157,2216,0.4
85,2203,0.4
96,2187,0.4
148,2186,0.4
4,2169,0.39
88,2143,0.39
97,2118,0.38
142,2103,0.38
98,2096,0.38
149,2093,0.38
139,2087,0.38
117,2080,0.38
132,2078,0.38
10,2054,0.37
33,2034,0.37
169,2022,0.37
17,1984,0.36
6,1969,0.36
198,1934,0.35
48,1927,0.35
67,1899,0.34
196,1893,0.34
18,1871,0.34
167,1844,0.33
78,1793,0.33
115,1753,0.32
102,1727,0.31
39,1712,0.31
40,1542,0.28
74,1525,0.28
66,1468,0.27
119,1412,0.26
19,1385,0.25
192,1366,0.25
24,1349,0.24
11,1301,0.24
47,1299,0.24
111,1257,0.23
191,1244,0.23
110,1165,0.21
1,1108,0.2
36,1079,0.2
79,1062,0.19
65,1043,0.19
116,1037,0.19
179,1007,0.18
14,1006,0.18
180,994,0.18
63,989,0.18
34,986,0.18
154,952,0.17
104,926,0.17
23,916,0.17
168,896,0.16
146,882,0.16
187,853,0.15
193,848,0.15
186,833,0.15
35,830,0.15
135,798,0.14
91,789,0.14
95,780,0.14
27,764,0.14
101,746,0.14
197,711,0.13
70,701,0.13
84,688,0.12
8,679,0.12
32,671,0.12
175,670,0.12
57,618,0.11
152,597,0.11
178,597,0.11
181,555,0.1
89,451,0.08
49,429,0.08
3,342,0.06
52,323,0.06
106,318,0.06
81,273,0.05
159,200,0.04
